model,L1,L2,corr,synch corr,synch ARI,ph caus corr,ph caus ARI,ph amp corr,ph amp ARI
CanESM2_0,255.83405674398739,33.497894215256572,0.46050083877358589,0.34368175916490068,0.29041455890244106,0.25319378349344701,0.21057249493516381,-0.0095563301129137825,-0.0083096605309964447
CanESM2_1,206.09261561784194,26.442262625830665,0.67628297011917693,0.24475496824338261,0.20704370960249308,0.12865462225412724,0.10781904901135485,0.021726598873490828,0.018926288333538151
CanESM2_2,239.06283533234387,31.43750764177064,0.40303796783642737,0.19008379361494021,0.16101352229128876,0.26260933475501747,0.2307271803747474,-0.0027406060259434423,-0.0023912666760460559
CanESM2_3,213.64460647908157,27.15284166456355,0.50069287609906632,0.19134791626821199,0.12970317274797669,0.21003362526939121,0.17716693834420449,-0.0076875701325137148,-0.00664633020533231
CanESM2_4,163.10063527642254,22.971740342549506,0.7660283455947221,0.24964059161333452,0.19682161122533165,0.20902869098478752,0.1676261402090351,0.04334346133488981,0.035814861211059271
CanESM2_ens_mean,215.54694988993546,28.300449297994184,0.56130859968459568,0.24390180578095402,0.19699931495390627,0.21270401135135408,0.17878236057490113,0.0090171107874019406,0.0074787784264445222
CanESM2_ens_std,35.424804552499488,4.1838848227749059,0.15330960809228664,0.062545963864062609,0.060520817232158984,0.052950216480632799,0.04709495561252338,0.022924290640584693,0.019236621062098468
GFDLCM3_0,226.32489307508902,30.887853984293425,0.73477031148684346,0.25112310747298833,0.21535459157868711,0.090341252321841883,0.07694659008152753,0.072218661602751075,0.063346239951135322
GFDLCM3_1,369.11581461565441,55.573797875414996,0.39771381810114032,0.041648543766375237,0.034423528175659482,0.055008023531881611,0.046178785497813492,-0.030540659429744918,-0.025654690127818583
GFDLCM3_2,370.18694721893792,57.131574843861536,0.41637530099916886,0.017691285735556606,0.012372084303688635,0.033572393861794052,0.027714126373144455,-0.04043373596743368,-0.034961697489361079
GFDLCM3_3,359.83850814097082,47.199050724429668,0.35060184810898842,0.0078771424956967425,0.0064297553402067704,0.04548229236167449,0.038407883613165453,0.0043211538291748246,0.0037117213496782064
GFDLCM3_4,338.64245010756736,50.347346962071214,0.37424596300449131,-0.034727541352874987,-0.027539388401279383,0.058732569183723965,0.049506853537955767,0.015333571116020836,0.01325015891072823
GFDLCM3_ens_mean,332.82172263164387,48.227924878014171,0.45474144834012648,0.056722507623548392,0.048208114199392527,0.056627306252183193,0.047750847820721344,0.0041797982301536273,0.0039383465188724195
GFDLCM3_ens_std,60.866212701725139,10.481715310504297,0.15848095750233374,0.11212853678092216,0.096040741576224081,0.021209813106644718,0.018348756693145105,0.044580239943673369,0.038746032870677342
GISSE2Hp1_0,298.4433588956274,37.247431405310842,0.52739857337026397,0.25987293479853874,0.21306174175291023,0.14015453190917762,0.12015327866500998,0.0067371833295049484,0.005789721882960141
GISSE2Hp1_1,319.19373854938505,44.978720174162419,0.21834928117719782,0.11134934772023709,0.093326176497633487,0.1348991582354799,0.11580970490238558,-0.041247706423463419,-0.035634687563941357
GISSE2Hp1_2,294.9576091709082,37.558389528956958,0.4897376616423405,0.20014790942962579,0.16727563318731031,0.051986259014616815,0.042422969790958699,-0.019680085292842837,-0.016813543335786402
GISSE2Hp1_3,329.86769798859615,44.671659970030269,0.18920261640196018,0.21691553741376873,0.18220891865974606,0.13036827972926707,0.10946927213932431,-0.029997255439730863,-0.025978835948498445
GISSE2Hp1_4,231.75779650204728,30.935150421049098,0.40394541680421103,0.12810061067309403,0.10605431511680032,0.14250059030763085,0.11848782542015512,0.0091688474459011588,0.0079645241850791575
GISSE2Hp1_5,219.35739167311337,30.127257029489233,0.56649504680829621,0.10433472152964957,0.086560972718652818,0.086055309464294683,0.072027151888238578,0.041722355613910495,0.036428768001424042
GISSE2Hp1_ens_mean,282.26293212994625,37.586434754833135,0.39918809936737826,0.17012017692748563,0.14141462632217552,0.11432735477674449,0.096395033801012053,-0.0055494434611200851,-0.0047073421297938083
GISSE2Hp1_ens_std,45.958535607000243,6.4006394290521156,0.1609024405185116,0.064334140988337785,0.052986883361206438,0.036951333986090844,0.031959937938194544,0.030574331719769192,0.026527274108131819
GISSE2Hp2_0,336.95613810524486,45.188278659274665,0.5324021164623336,0.25838746230477522,0.21722349593603255,0.21126733154616997,0.17905279823164655,0.002124991462811894,0.0018321012198437377
GISSE2Hp2_1,146.17984062644783,18.806966619552611,0.8064387166023802,0.19783071938291966,0.16280768732251677,0.19998768691928026,0.17291802772317674,0.014616984627859151,0.012371812523728319
GISSE2Hp2_2,332.06042632044711,43.504429650959736,0.27331980222141933,0.16096187376905685,0.13494150356527068,0.054385794921751371,0.046000849607076816,-0.0043649779896178798,-0.0037790690179466068
GISSE2Hp2_3,360.31001901286231,49.065237709641927,0.41997818143118593,0.19229371892268526,0.16384991824156728,0.15778735965469587,0.13589631480757461,0.0069316820035734469,0.0057353149387046349
GISSE2Hp2_4,275.13098825171346,40.979406765481102,0.40048137450449128,0.18297467163490433,0.15376357879550751,0.13510865813287742,0.11602689500969744,0.027771217994359023,0.023819036677226027
GISSE2Hp2_ens_mean,290.12748246334314,39.508863880982005,0.48652403824436219,0.19848968920286825,0.16651723677217894,0.15170736623495498,0.12997897707583445,0.0094159796197971265,0.0079958392683112216
GISSE2Hp2_ens_std,86.346253009783197,11.94022220686378,0.20108327677262683,0.03631673241383538,0.030625490947064363,0.06257465642488072,0.05369823871948283,0.01238154134654328,0.010621591456771747
